county,A08,A18,Sex,Age,A20,B3A__1,B3A__2,B3A__3,B3A__4,B3A__5,B3A__6,B3A__7,B3A__8,B3A__9,B3A__10,B3A__11,B3A__98,B3A__99,S1,S2__1,S6,S7_5,indWeight,Education,mobile_money_access,formal_access_fnl,Access_fnl,Overall_Access_fnl,mobile_money_access_primary,financially_excluded,age_years,age_group_youth,employment_category,internet_access,owns_private_mobile,digital_access_score
Bomet,Rural,30,Female,26-35,"""Some secondary""",0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1049.377197265625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,yes,yes,3
Nyeri,Rural,34,Female,26-35,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,731.8359985351562,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,34,31-35,self_employment,no,yes,1
Wajir,Rural,33,Female,26-35,"""None """,0,0,0,0,0,0,0,0,0,0,1,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,490.5959777832031,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,33,31-35,other_or_no_income_source,no,yes,1
Lamu,Rural,32,Female,26-35,"""None """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,417.2868957519531,,No,No,Informal,informal only,No,0,32,31-35,family_remittance,no,yes,1
Laikipia,Rural,34,Male,26-35,"""Primary completed""",1,1,0,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I have no idea/I dont know,659.3328247070312,Primary,No,No,Excluded,excluded,No,1,34,31-35,regular_employment,no,no,0
Nyandarua,Rural,18,Male,18-25,"""Some secondary""",0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,1058.727783203125,Secondary,Yes,No,Excluded,excluded,No,1,18,18-25,casual_work,yes,yes,3
Kericho,Rural,18,Female,18-25,"""Some secondary""",0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile phone that both me and others use/Nina simu ya mkononi ambayo mim,0.0,Okay/Fair/Average,I can manage with difficulties,1140.32275390625,Secondary,No,No,Excluded,excluded,No,1,18,18-25,family_remittance,no,no,1
Kilifi,Rural,25,Female,18-25,"""Primary completed""",0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,1086.218994140625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,25,18-25,family_remittance,no,yes,1
Nyamira,Rural,35,Female,26-35,"""Some secondary""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I have no idea/I dont know,461.6822509765625,Secondary,No,No,Informal,informal only,No,0,35,31-35,casual_work,no,no,0
Marsabit,Rural,24,Female,18-25,"""None """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage with ease,1246.1309814453125,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,24,18-25,self_employment,no,yes,2
